Guid,SCODE,TeamId,AnalystId,StartDate,EndDate,Country,Sector,StockGroupName
4F9139CB-2831-4E46-9B66-0004E2B92C6F,,2,3,2020-12-31 00:00:00,,Russia,Materials,Norilsk Nickel Mining & Metallurgical Co
5F4A2B65-F34B-4B51-A21C-0005654E34FA,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,Brazil,Energy,Ogx Petroleo E Gas Participacoes S/A
6539F485-EC90-411A-91BB-000AC83F0663,,2,25,2025-11-30 00:00:00,,Malaysia,Communication Services,Celcomdigi Berhad
1C7AABFF-569C-46A4-9BEB-000D0085D071,,2,27,2025-11-30 00:00:00,,China,Information Technology,"Tongfu Microelectronics Co., Ltd. Class A"
C500E9EB-E1C6-48F3-8AD4-001176CAFDB4,,2,22,2024-12-31 00:00:00,,China,Consumer Discretionary,China Zhengtong Auto Services Holdings L
1D39EE3D-E322-4685-BB80-00123EF258EF,,2,8,2020-10-31 00:00:00,,Thailand,Energy,Ptt Exploration & Production Plc
A0C1A2CC-7866-43DE-B826-001247D69195,,2,22,2024-12-31 00:00:00,,Brazil,Industrials,Petrobras Distribuidora
479B68D6-D4F3-4582-8E20-00156BE998DF,,2,4,2020-12-31 00:00:00,2023-03-31 00:00:00,Thailand,Telecommunications,Shin Corporation
B4E1F098-0E65-4470-AE83-001F464D5AA8,,2,4,1900-01-01 00:00:00,,Egypt,Energy,Alexandria Mineral Oils Co.
3EA25E9A-5D73-4C5D-8515-002F6C12DD78,,2,20,2022-12-31 00:00:00,2024-12-31 00:00:00,Brazil,Communication Services,Eletromidia Sa
89D4515E-53CE-4D5E-B3B6-002FEAC89199,,2,18,2014-12-31 00:00:00,2023-03-31 00:00:00,China,Industrials,Aecc Aviation Power Co Ltd Class A
57C4A4C6-0495-4FE5-8B6E-003CA42A2F41,,2,22,2024-12-31 00:00:00,,China,Industrials,Beijing Compass Technology Development Co. Ltd. Class A
7AC37F31-E1E8-4586-A66A-00544EE1E8B7,,2,22,2023-03-31 00:00:00,,China,Materials,"Shanxi Coking Coal Energy Group Co., Ltd Class A"
D9BAE6AB-2929-4982-9890-005D23F1AE8D,,2,22,2024-12-31 00:00:00,,China,Financials,"Sealand Securities Co., Ltd. Class A"
8DF11C3A-6176-4165-BEF3-007FC79673F3,,2,4,2020-12-31 00:00:00,2024-12-31 00:00:00,South Africa,Consumer Discretionary,Steinhoff International Holdings Ltd.
DA95B6BD-5B80-4ABB-9A5C-009C70983689,,2,24,2024-12-31 00:00:00,2025-05-31 00:00:00,South Africa,Industrials,Aveng Limited
6E4BA3AD-92FB-44D2-B5F1-00A22B033AB2,,2,8,2025-05-31 00:00:00,,Saudi Arabia,Materials,Sahara International Petrochemical Comp
5164FC3A-F0E4-4860-8B4F-00AE6D86003B,,2,18,2020-12-31 00:00:00,2023-03-31 00:00:00,Taiwan,Information Technology,Nan Ya Printed Circuit Board Corporation
4612AE0D-0E30-49C0-99BB-00B521CE836F,,2,3,1900-01-01 00:00:00,,Saudi Arabia,Materials,Middle East Paper Co.
4C390F9B-CC19-4B80-BA25-00C700918300,,2,8,2020-12-31 00:00:00,,Kuwait,Financials,Arzan Financial Group For Financing And Investment (Kpsc)
CDE74E33-5B91-4469-8FE8-00D764789725,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,China,Financials,Ping An Insurance (Group) Co.
6113F32C-1D26-4595-8736-00E1D3562CC6,,2,8,2024-12-31 00:00:00,,Indonesia,Materials,Pt Bumi Resources Minerals Tbk Class A
1D1E47E5-2939-45A1-8414-00EA1E1BFB85,,2,4,2020-12-31 00:00:00,2025-11-30 00:00:00,Malaysia,Consumer Staples,Fgv Holdings Bhd.
3573DCA7-260F-454F-B132-00EB6438F27C,,2,18,2020-12-31 00:00:00,2023-03-31 00:00:00,China,Health Care,Apeloa Pharmaceutical Co. Ltd. Class A
A58D7438-9FBC-4A8E-864F-0115217ACEA2,,2,24,2024-12-31 00:00:00,2025-05-31 00:00:00,South Africa,Real Estate,Resilient Reit Limited
B45E9726-41AC-4EE1-AA26-0126410CA3B3,,2,4,2025-05-31 00:00:00,,South Africa,Consumer Staples,Feronia Inc
36D4F0AB-D611-4988-B4B5-0126F74523E3,,2,8,2021-12-31 00:00:00,,Indonesia,Materials,Pt Vale Indonesia Tbk
105C29EE-98E5-4316-892B-0127E5A88F55,,2,18,2021-12-31 00:00:00,,China,Information Technology,Gcl-Poly Energy Holdings Limited
6A2B5BBD-3A33-42B4-AD22-0134625C7716,,2,8,2020-10-31 00:00:00,2023-03-31 00:00:00,Philippines,Real Estate,Megaworld Corp.
2CB0A1C0-9BBD-4467-8BA1-0145FE73ED5A,,2,3,1900-01-01 00:00:00,,Saudi Arabia,Consumer Discretionary,Saudi Marketing Co.
1C0F0EF9-954A-47DC-A444-0148CE6070BE,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,China,Financials,China Merchants Bank
CCDC64E0-5169-45FC-96D7-015D15A177F1,,2,18,2021-12-31 00:00:00,2023-03-31 00:00:00,China,Industrials,Liaoning Port Company Limited Class A
CF4EC8D8-1FF0-4815-910E-015D1729F3E6,,2,25,2025-05-31 00:00:00,,China,Consumer Staples,Mixue Group
47EFDF7D-E86C-4D18-8E65-015F05AF69BA,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,China,Financials,Avic Capital Co. Ltd. Class A
C9A2BB0A-DF63-4F77-9B58-0165CEABCFC3,,2,4,2018-12-31 00:00:00,,Egypt,Financials,Citadel Capital Sae
04B4E8C2-D8DC-4A04-B815-0170E9D73650,,2,18,2020-12-31 00:00:00,2023-03-31 00:00:00,Taiwan,Information Technology,Win Semiconductors Corp.
2503492E-F459-4991-9885-0179D5A40854,,2,3,2018-12-31 00:00:00,,Saudi Arabia,Consumer Staples,Almarai Company
3B224E85-C699-4B36-881C-018090AEF172,,2,8,2019-06-30 00:00:00,,United Arab Emirates,Financials,Emirates Nbd Bank (P.J.S.C) Rights 2019-20.11.19 For Shares
802C641C-1558-43AB-9A59-0186466E72A3,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,China,Consumer Staples,Heilongjiang Agriculture Company Limited Class A
B0E39DBE-D250-489F-A2CF-018738CFD77D,,2,18,2020-12-31 00:00:00,2022-12-31 00:00:00,Taiwan,Industrials,Evergreen Marine Corp. (Taiwan) Ltd.
3276271B-191B-4743-8929-018E1DB5C12A,,2,3,2018-12-31 00:00:00,,Argentina,Utilities,Edenor
6882399A-8A02-4D36-A3C8-01941332E3D3,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,China,Financials,"China Vanke Co., Ltd Class A"
AAD47B38-8025-48FF-8DD8-019B62964539,,2,22,2024-12-31 00:00:00,,China,Financials,Zhongtian Financial Group Company Limited Class A
A06438B4-E9AA-4473-BE11-019C9E9B9532,,2,24,2024-12-31 00:00:00,2025-05-31 00:00:00,South Africa,Consumer Discretionary,Financier Richemont
C7F14D4A-8BD7-4C3F-9034-019D208719E5,,2,22,2023-03-31 00:00:00,,China,Industrials,"Raytron Technology Co., Ltd. Class A"
CBF5DF50-277B-4F07-BDC1-019F98055022,,2,3,1900-01-01 00:00:00,2025-07-31 00:00:00,Saudi Arabia,Materials,Takween Advanced Industries Co.
D2DE3B10-96E3-495B-BE06-01A1B1CA28EC,,2,18,2014-12-31 00:00:00,2023-03-31 00:00:00,China,Industrials,China State Construction Engineering Corp. Ltd. Class A
DB55F33F-5697-499E-9AD9-01B05065BD83,,2,3,2020-12-31 00:00:00,,Russia,Telecommunications,Rostelecom Long-Distance & Intl Telecommunications Co. Pjsc
0AB7D9B0-A365-4322-903F-01B94F7946C7,,2,4,2020-12-31 00:00:00,,Egypt,[Unassigned],Pioneers Properties For Urban Development
EF80049A-9051-4613-84BB-01BDA0AD0E9E,,2,22,2024-12-31 00:00:00,2025-04-30 00:00:00,China,Industrials,Tongcheng Travel Holdings Limited
D2BDE48D-D691-4543-A738-01C1C4AA2937,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,China,Consumer Staples,"Henan Shuanghui Investment & Development Co., Ltd. Class A"
D1B05EA4-9AA4-4B21-8533-01C399A0EF27,,2,8,2021-12-31 00:00:00,,United Arab Emirates,Consumer Discretionary,Dubai Parks And Resorts Pjsc
6AC217C0-A1D0-4CB0-B5FE-01D3A3C5031C,,2,18,2014-12-31 00:00:00,,China,Industrials,China Gezhouba Group Company Limited Class A
07310534-EB3B-49E3-8058-01DBD5F7D933,,2,18,2020-12-31 00:00:00,,Korea,Industrials,"Hyundai Heavy Industries Holdings Co., Ltd."
0CBFC996-AB1C-4FEF-84CA-01E7C38018C9,,2,3,2009-12-31 00:00:00,2025-05-31 00:00:00,Saudi Arabia,Financials,Wataniya Insurance Co.
6203095C-CA57-4E70-A246-01FDA4E8C202,,2,22,2023-03-31 00:00:00,,Taiwan,Information Technology,"Ase Technology Holding Co., Ltd."
CAC24147-F17B-4D03-B0D9-02010F5720B8,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,China,Financials,China Aoyuan Group Limited
B28FFECA-97DC-41D6-B71D-020A72488DFE,,2,22,2025-11-30 00:00:00,,South Africa,Financials,Rand Merchant Insurance Holdings Limited
77E3127E-58CB-4FDA-B6C9-020CADF3E77C,,2,28,2025-11-30 00:00:00,,Vietnam,Financials,Mbb Bank
9F328666-EB29-46CA-B94A-020FA3F5FADB,,2,22,2023-03-31 00:00:00,,Taiwan,Materials,Nan Ya Plastics Corporation
AF2C5290-28ED-40E8-9D02-02190A6AB6F9,,2,18,2020-12-31 00:00:00,,China,Real Estate,China Evergrande Group
F2C79891-7D90-4799-89BA-021AE7D57121,,2,3,2020-12-31 00:00:00,,Russia,Financials,Vtb Bank Pjsc
374652ED-1F00-4D4F-AF52-0224D0EE42E8,,2,18,2021-12-31 00:00:00,2023-03-31 00:00:00,China,Health Care,"Hygeia Healthcare Holdings Co., Ltd."
438A17BF-B04A-4145-8F7F-0226736DB856,,2,4,2025-05-31 00:00:00,2025-11-30 00:00:00,South Africa,Consumer Staples,Tongaat Hulett Limited
4C94A13A-2ADE-40C9-9724-0232AD84D3AC,,2,3,2025-05-31 00:00:00,,Qatar,Materials,Qatar National Cement
D65FF685-3BE1-4663-9D26-0232EA997B75,,2,22,2024-12-31 00:00:00,2025-05-31 00:00:00,China,Consumer Staples,"Muyuan Foods Co., Ltd. Class A"
FA17D947-25EF-425B-804D-02335580F195,,2,25,2025-05-31 00:00:00,,China,Consumer Discretionary,"Fuyao Glass Industry Group Co., Ltd. Class A"
62D2B31B-162A-4F6F-9FAD-0236D8FEA246,,2,18,2020-12-31 00:00:00,,China,Real Estate,Kwg Group Holdings (Det)
9AB58259-5BE0-4117-8DFE-023C6FAB0CB4,,2,18,2021-12-31 00:00:00,2023-03-31 00:00:00,China,Information Technology,"Chaozhou Three-Circle (Group) Co., Ltd. Class A"
E4A90A5D-EBA1-45A1-B381-0244209E6056,,2,22,2024-12-31 00:00:00,2025-04-30 00:00:00,China,Consumer Discretionary,"Contemporary Amperex Technology Co., Limited Class A"
0AA726A5-A358-4822-90FF-024E9178423B,,2,8,2020-12-31 00:00:00,,Thailand,Financials,Asset World Corp Public Company Ltd
D4F3702D-7441-44BE-982F-0251191E7D2C,,2,3,2020-12-31 00:00:00,,Mexico,Industrials,Tenedora Nemak S.A.B. De C.V.
AB90D996-4266-4D47-B8DF-0254CAA1DE4D,,2,25,2025-11-30 00:00:00,,China,Materials,Nanshan Aluminium
A2C8A12E-8BA8-42E5-B124-026BBDE4E5F5,,2,18,2021-12-31 00:00:00,2023-03-31 00:00:00,China,Information Technology,"Suzhou Dongshan Precision Manufacturing Co., Ltd Class A"
E9354850-3089-4C9B-83A5-026E4890D156,,2,3,2019-12-31 00:00:00,,United States,Financials,Al-Habib Medical Services
CE1322B9-737A-4900-8562-0276C1665E87,,2,8,2021-12-31 00:00:00,2023-03-31 00:00:00,Philippines,Energy,Acen Corporation
5453B825-8AE1-44BD-88BC-0278F4E783E0,,2,4,2024-12-31 00:00:00,2025-11-30 00:00:00,Vietnam,Financials,Vps Securities
428FEF84-C7D5-4983-9FE2-0293869780DF,,2,4,2018-12-31 00:00:00,,Egypt,Financials,Efg-Hermes Holdings
1FD2228C-8FAE-4DB3-A913-0297206CB665,,2,3,2019-06-30 00:00:00,,Georgia,Energy,Georgian Oil 6.875%
88480EC0-AEAF-4136-9FAB-02976BC4CA39,,2,4,2023-12-31 00:00:00,,Tunisia,Financials,Union Bancaire Pour Le Commerce Et L'industrie Sa
28C3271C-9002-4D95-B956-02A86D795CB2,,2,20,2020-12-31 00:00:00,2024-12-31 00:00:00,Brazil,Energy,Hrt Participacoes Em Petroleo S.A.
DE567207-EB2B-45D2-AF8D-02A9D4F7ED85,,2,8,2023-03-31 00:00:00,,Indonesia,Consumer Staples,Pt Cisarua Mountain Dairy Tbk
3CB64471-E62E-4D60-9EF4-02AB72A0F0CD,,2,22,2023-03-31 00:00:00,,China,Materials,Anhui Conch Cement Company Limited Class H
0CC11C31-206E-4838-AFE5-02AED2AFB2EB,,2,22,2023-03-31 00:00:00,,Taiwan,Industrials,China Airlines Ltd.
